Rank,Rating,Team
1,148991.587962946,North Dakota State
2,41448.16712320078,Illinois State
3,32669.02757047817,Eastern Washington
4,12819.382370402926,Alabama
5,3762.0249738737157,Western Michigan
6,1035.8824676456723,Central Arkansas
7,691.2938874217625,Western Illinois
8,667.9648655834819,Northern Iowa
9,606.2636332597692,Eastern Illinois
10,513.7724570529907,Richmond
11,180.52996011961793,Ohio State
12,79.62793831141947,Michigan
13,78.1015901988466,Penn State
14,78.07787073421301,Albany
15,47.973891850378195,Wisconsin
16,36.76360638116325,Washington
17,26.649057945205616,Iowa
18,17.740315415057605,Nebraska
19,14.57457658200795,Colorado
20,14.469755313255428,Clemson
21,13.064688021722313,Southern California
22,7.780522539373415,Stanford
23,7.689704847850267,Minnesota
24,7.44017401736278,Northwestern
25,6.5873893790367894,Oklahoma
26,5.711083622441248,Washington State
27,3.6779152821991747,Florida State
28,2.940065748976727,West Virginia
29,2.9216561025825567,Louisiana State
30,2.7065273149441125,Auburn
31,2.583600065670831,Florida
32,2.38548981807415,Pittsburgh
33,2.381663553755453,Utah
34,2.347397731236606,South Florida
35,2.1553054665038283,Tennessee
36,2.106357793608033,Boise State
37,2.1000149601973943,Louisville
38,1.962784092407672,Texas A&M
39,1.7757497125992008,Oklahoma State
40,1.7004483158384742,Virginia Tech
41,1.647419135406828,Georgia Tech
42,1.6026323798600652,Houston
43,1.4461609089570224,Temple
44,1.3555029407262922,Tulsa
45,1.3448973164925224,North Carolina
46,1.2545838710624369,Miami (FL)
47,1.1707891766482315,Georgia
48,1.1090497665771473,Arkansas
49,1.0700060402220968,Kansas State
50,1.019332463984186,Kentucky
51,0.9856526111668767,Navy
52,0.9008474036628965,Memphis
53,0.827622682114634,Indiana
54,0.7904927950603372,Maryland
55,0.7496424803926846,Brigham Young
56,0.7155959597421759,Vanderbilt
57,0.7140744525077546,California
58,0.6916748804271733,Mississippi
59,0.670572631154783,Oregon
60,0.6332836448483623,Oregon State
61,0.6140163938997856,South Carolina
62,0.5779723160891533,Appalachian State
63,0.5739709199848203,Air Force
64,0.513250930582293,Arizona State
65,0.5117502494339263,UCLA
66,0.4853942120200741,North Carolina State
67,0.45470275923982184,Toledo
68,0.430818650622879,Mississippi State
69,0.425774369084013,Western Kentucky
70,0.4084621150306325,Wyoming
71,0.40794450371884017,Colorado State
72,0.4068045744276641,San Diego State
73,0.3842337119998694,Troy
74,0.3722477158528344,Boston College
75,0.36435697513408316,Texas Christian
76,0.35249674847441026,Wake Forest
77,0.31193232164802087,Idaho
78,0.302405222827027,Central Florida
79,0.29735351056762405,Missouri
80,0.2513390675422268,Baylor
81,0.23718737559591105,Syracuse
82,0.2363394133829113,New Mexico
83,0.2221773515467177,Arizona
84,0.2195743510489583,Texas
85,0.21948279429266374,Duke
86,0.2190638776636666,Southern Methodist
87,0.2000366242779315,Old Dominion
88,0.19706320990248608,Texas Tech
89,0.17781549238235878,Notre Dame
90,0.17522889302826372,Arkansas State
91,0.1747903576414042,Eastern Michigan
92,0.16323663852593182,North Carolina A&T
93,0.15644802280852937,Illinois
94,0.13883931790893822,Ohio
95,0.13339373330493,Army
96,0.13085235984462934,Michigan State
97,0.1262656605512472,Middle Tennessee State
98,0.11833884137777853,Louisiana Tech
99,0.11722656108307347,Northern Illinois
100,0.11464757950139352,Iowa State
101,0.11181496147926177,Purdue
102,0.10719311414889476,Louisiana-Lafayette
103,0.10688680206335505,Cincinnati
104,0.1057973717343284,Central Michigan
105,0.10239344684271588,Miami (OH)
106,0.08823168171715683,Virginia
107,0.08812777526010684,Tulane
108,0.08701402259590646,Hawaii
109,0.08667420011746567,Georgia Southern
110,0.07769164980673621,East Carolina
111,0.07637174917659202,South Alabama
112,0.06882291863537543,Texas-San Antonio
113,0.06461254586978249,Rutgers
114,0.0538424061806219,Southern Mississippi
115,0.04995920205485549,Connecticut
116,0.040823952288801084,Louisiana-Monroe
117,0.03903879958398311,San Jose State
118,0.03840941798020585,Akron
119,0.03750831957839504,North Texas
120,0.0366944443731909,New Mexico State
121,0.036086066141327464,Nevada-Las Vegas
122,0.03440555253218899,Bowling Green State
123,0.033459442914472934,Kansas
124,0.030503814068632614,Nevada
125,0.027516524961977498,Utah State
126,0.024750868661271064,Florida International
127,0.021867833318234737,Ball State
128,0.019656239171773716,Kent State
129,0.01747421893771064,Georgia State
130,0.015468647866923303,Charlotte
131,0.014965055693736264,Texas-El Paso
132,0.014790221432707357,Massachusetts
133,0.012842502545936139,Buffalo
134,0.009970029025431697,Marshall
135,0.009304495922337789,Rice
136,0.00917723732029578,Texas State
137,0.006752306061010184,Florida Atlantic
138,0.0000013335292795953128,Fresno State
139,0,Montana State
140,0,William & Mary
141,0,Northwestern State
142,0,South Carolina State
143,0,Towson
144,0,Jacksonville State
145,0,Sacramento State
146,0,Wofford
147,0,Prairie View A&M
148,0,Houston Baptist
149,0,Chattanooga
150,0,Delaware State
151,0,Colgate
152,0,Murray State
153,0,Northern Arizona
154,0,Southeast Missouri State
155,0,Eastern Kentucky
156,0,Stephen F. Austin
157,0,Idaho State
158,0,Bethune-Cookman
159,0,Wagner
160,0,Northern Colorado
161,0,Southern Utah
162,0,Tennessee State
163,0,Tennessee-Martin
164,0,Western Carolina
165,0,Furman
166,0,Savannah State
167,0,Abilene Christian
168,0,Rhode Island
169,0,Alabama State
170,0,California-Davis
171,0,Elon
172,0,Delaware
173,0,New Hampshire
174,0,McNeese State
175,0,Maine
176,0,Youngstown State
177,0,Lafayette
178,0,Virginia Military Institute
179,0,Jackson State
180,0,Nicholls State
181,0,Weber State
182,0,Gardner-Webb
183,0,Lamar
184,0,South Dakota State
185,0,Alcorn State
186,0,Austin Peay
187,0,Portland State
188,0,Mississippi Valley State
189,0,Howard
190,0,Presbyterian
191,0,Villanova
192,0,Southeastern Louisiana
193,0,Hampton
194,0,Florida A&M
195,0,North Dakota
196,0,Stony Brook
197,0,Charleston Southern
198,0,Indiana State
199,0,Missouri State
200,0,Tennessee Tech
201,0,Southern Illinois
202,0,Alabama A&M
203,0,South Dakota
204,0,Liberty
205,0,Mercer
206,0,Morgan State
207,0,Samford
208,0,North Carolina Central
209,0,Grambling State
210,0,Citadel
211,0,James Madison
212,0,Cal Poly
213,0,Southern
214,0,Monmouth
215,0,Fordham
216,0,Incarnate Word
